case,court order,GPT-5.6 Terra | Greek,GPT-5.6 Terra | BT via English,GPT-5.6 Terra | English,GPT-5.6 Terra | BT via German,GPT-5.6 Terra | German (plain terms),GPT-5.6 Terra | German (English terms),"GPT-5.6 Terra, reasoning off | Greek","GPT-5.6 Terra, reasoning off | BT via English","GPT-5.6 Terra, reasoning off | English","GPT-5.6 Terra, reasoning off | BT via German","GPT-5.6 Terra, reasoning off | German (plain terms)","GPT-5.6 Terra, reasoning off | German (English terms)",Claude Sonnet 5 | Greek,Claude Sonnet 5 | BT via English,Claude Sonnet 5 | English,Claude Sonnet 5 | BT via German,Claude Sonnet 5 | German (plain terms),Claude Sonnet 5 | German (English terms),Gemini 3.6 Flash | Greek,Gemini 3.6 Flash | BT via English,Gemini 3.6 Flash | English,Gemini 3.6 Flash | BT via German,Gemini 3.6 Flash | German (plain terms),Gemini 3.6 Flash | German (English terms)
C0990,1 granted in full,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,2 granted in part,3 dismissed,3 dismissed,3 dismissed,3 dismissed,1 granted in full,1 granted in full,1 granted in full,3 dismissed,3 dismissed,1 granted in full
C1026,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
C1099,1 granted in full,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
C1195,2 granted in part,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
C1292,2 granted in part,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
C1316,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
C1387,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
C1423,1 granted in full,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,2 granted in part,3 dismissed,2 granted in part,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
C1460,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
C1621,1 granted in full,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
