case,court order,GPT-5.6 Terra | Greek,GPT-5.6 Terra | English,"GPT-5.6 Terra, reasoning off | Greek","GPT-5.6 Terra, reasoning off | English",Claude Sonnet 5 | Greek,Claude Sonnet 5 | English,Gemini 3.6 Flash | Greek,Gemini 3.6 Flash | English
C0990,1 granted in full,3 dismissed,3 dismissed,3 dismissed,3 dismissed,2 granted in part,3 dismissed,1 granted in full,1 granted in full
C1026,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
C1099,1 granted in full,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
C1195,2 granted in part,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
C1292,2 granted in part,3 dismissed,3 dismissed,3 dismissed,3 dismissed,2 granted in part,3 dismissed,3 dismissed,3 dismissed
C1316,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
C1387,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
C1423,1 granted in full,3 dismissed,3 dismissed,3 dismissed,3 dismissed,2 granted in part,3 dismissed,3 dismissed,3 dismissed
C1460,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
C1621,1 granted in full,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed,3 dismissed
