case,GPT-5.6 Terra | Greek,GPT-5.6 Terra | BT via English,GPT-5.6 Terra | English,GPT-5.6 Terra | BT via German,GPT-5.6 Terra | German (plain terms),GPT-5.6 Terra | German (English terms),"GPT-5.6 Terra, reasoning off | Greek","GPT-5.6 Terra, reasoning off | BT via English","GPT-5.6 Terra, reasoning off | English","GPT-5.6 Terra, reasoning off | BT via German","GPT-5.6 Terra, reasoning off | German (plain terms)","GPT-5.6 Terra, reasoning off | German (English terms)",Claude Sonnet 5 | Greek,Claude Sonnet 5 | BT via English,Claude Sonnet 5 | English,Claude Sonnet 5 | BT via German,Claude Sonnet 5 | German (plain terms),Claude Sonnet 5 | German (English terms),Gemini 3.6 Flash | Greek,Gemini 3.6 Flash | BT via English,Gemini 3.6 Flash | English,Gemini 3.6 Flash | BT via German,Gemini 3.6 Flash | German (plain terms),Gemini 3.6 Flash | German (English terms)
C0990,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C1026,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C1099,1,1,1,1,1,1,3,3,1,1,3,1,3,3,1,3,1,1,1,1,1,1,1,1
C1195,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C1292,1,1,1,1,none,1,1,4,3,4,1,2,3,1,1,1,3,1,1,1,1,1,1,1
C1316,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C1387,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,3,1,1,1,1,1,1,1
C1423,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C1460,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C1621,3,3,1,3,3,3,3,3,1,1,1,1,3,3,1,3,3,1,1,1,1,1,1,1
