configuration,model,reasoning,case,arm,k,valid draws used,option 1,option 2,option 3,option 4,modal,modal share,strict majority,grant share,ground 1,ground 2,ground 3,ground 4,ground 5,modal ground,failed draws
terra,gpt-5.6-terra,medium,C0990,gr,62,62,0,0,62,0,3,1.0,3,0.0,62,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1026,gr,62,62,0,0,62,0,3,1.0,3,0.0,62,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1099,gr,62,62,0,0,62,0,3,1.0,3,0.0,49,0,13,0,0,1,none
terra,gpt-5.6-terra,medium,C1195,gr,62,62,0,0,62,0,3,1.0,3,0.0,60,0,2,0,0,1,none
terra,gpt-5.6-terra,medium,C1292,gr,62,62,0,0,62,0,3,1.0,3,0.0,55,2,4,1,0,1,none
terra,gpt-5.6-terra,medium,C1316,gr,62,62,0,0,62,0,3,1.0,3,0.0,62,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1387,gr,62,62,0,0,62,0,3,1.0,3,0.0,57,0,5,0,0,1,none
terra,gpt-5.6-terra,medium,C1423,gr,62,62,0,0,62,0,3,1.0,3,0.0,62,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1460,gr,62,62,0,0,62,0,3,1.0,3,0.0,50,0,12,0,0,1,none
terra,gpt-5.6-terra,medium,C1621,gr,62,62,0,0,62,0,3,1.0,3,0.0,21,0,41,0,0,3,none
terra,gpt-5.6-terra,medium,C0990,bt-en,31,31,0,0,31,0,3,1.0,3,0.0,30,0,1,0,0,1,none
terra,gpt-5.6-terra,medium,C1026,bt-en,31,31,0,0,31,0,3,1.0,3,0.0,31,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1099,bt-en,31,31,0,0,31,0,3,1.0,3,0.0,26,0,5,0,0,1,none
terra,gpt-5.6-terra,medium,C1195,bt-en,31,31,0,2,29,0,3,0.935483871,3,0.064516129,17,0,14,0,0,1,none
terra,gpt-5.6-terra,medium,C1292,bt-en,31,31,1,0,30,0,3,0.9677419355,3,0.0322580645,28,1,2,0,0,1,none
terra,gpt-5.6-terra,medium,C1316,bt-en,31,31,0,0,31,0,3,1.0,3,0.0,31,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1387,bt-en,31,31,0,0,31,0,3,1.0,3,0.0,28,0,3,0,0,1,none
terra,gpt-5.6-terra,medium,C1423,bt-en,31,31,0,0,31,0,3,1.0,3,0.0,31,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1460,bt-en,31,31,1,1,29,0,3,0.935483871,3,0.064516129,26,0,5,0,0,1,none
terra,gpt-5.6-terra,medium,C1621,bt-en,31,31,0,0,31,0,3,1.0,3,0.0,5,0,26,0,0,3,none
terra,gpt-5.6-terra,medium,C0990,bt-de,31,31,0,0,31,0,3,1.0,3,0.0,31,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1026,bt-de,31,31,0,0,31,0,3,1.0,3,0.0,31,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1099,bt-de,31,31,0,0,31,0,3,1.0,3,0.0,27,0,4,0,0,1,none
terra,gpt-5.6-terra,medium,C1195,bt-de,31,31,0,0,31,0,3,1.0,3,0.0,24,0,7,0,0,1,none
terra,gpt-5.6-terra,medium,C1292,bt-de,31,31,0,0,31,0,3,1.0,3,0.0,21,0,9,1,0,1,none
terra,gpt-5.6-terra,medium,C1316,bt-de,31,31,0,0,31,0,3,1.0,3,0.0,31,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1387,bt-de,31,31,0,0,31,0,3,1.0,3,0.0,28,0,3,0,0,1,none
terra,gpt-5.6-terra,medium,C1423,bt-de,31,31,0,0,31,0,3,1.0,3,0.0,31,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1460,bt-de,31,31,0,5,26,0,3,0.8387096774,3,0.1612903226,19,0,12,0,0,1,none
terra,gpt-5.6-terra,medium,C1621,bt-de,31,31,0,0,31,0,3,1.0,3,0.0,5,0,26,0,0,3,none
terra,gpt-5.6-terra,medium,C0990,en,31,31,1,0,30,0,3,0.9677419355,3,0.0322580645,31,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1026,en,31,31,0,0,31,0,3,1.0,3,0.0,29,0,2,0,0,1,none
terra,gpt-5.6-terra,medium,C1099,en,31,31,0,0,31,0,3,1.0,3,0.0,26,3,2,0,0,1,none
terra,gpt-5.6-terra,medium,C1195,en,31,31,0,0,31,0,3,1.0,3,0.0,29,0,2,0,0,1,none
terra,gpt-5.6-terra,medium,C1292,en,31,31,0,0,31,0,3,1.0,3,0.0,26,2,2,1,0,1,none
terra,gpt-5.6-terra,medium,C1316,en,31,31,0,0,31,0,3,1.0,3,0.0,31,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1387,en,31,31,0,0,31,0,3,1.0,3,0.0,31,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1423,en,31,31,0,0,31,0,3,1.0,3,0.0,31,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1460,en,31,31,0,0,31,0,3,1.0,3,0.0,23,0,8,0,0,1,none
terra,gpt-5.6-terra,medium,C1621,en,31,31,0,0,31,0,3,1.0,3,0.0,24,0,7,0,0,1,none
terra,gpt-5.6-terra,medium,C0990,de-lit,31,31,0,0,31,0,3,1.0,3,0.0,30,0,1,0,0,1,none
terra,gpt-5.6-terra,medium,C1026,de-lit,31,31,0,0,31,0,3,1.0,3,0.0,29,0,2,0,0,1,none
terra,gpt-5.6-terra,medium,C1099,de-lit,31,31,0,0,31,0,3,1.0,3,0.0,18,0,13,0,0,1,none
terra,gpt-5.6-terra,medium,C1195,de-lit,31,31,0,0,31,0,3,1.0,3,0.0,28,0,3,0,0,1,none
