configuration,model,reasoning,case,arm,k,valid draws used,option 1,option 2,option 3,option 4,modal,modal share,strict majority,grant share,ground 1,ground 2,ground 3,ground 4,ground 5,modal ground,failed draws
terra,gpt-5.6-terra,medium,C0990,gr,30,30,0,0,30,0,3,1.0,3,0.0,27,0,3,0,0,1,none
terra,gpt-5.6-terra,medium,C1026,gr,30,30,0,0,30,0,3,1.0,3,0.0,30,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1099,gr,30,30,0,0,30,0,3,1.0,3,0.0,20,0,10,0,0,1,none
terra,gpt-5.6-terra,medium,C1195,gr,30,30,0,0,30,0,3,1.0,3,0.0,25,0,5,0,0,1,none
terra,gpt-5.6-terra,medium,C1292,gr,30,30,0,0,30,0,3,1.0,3,0.0,22,1,4,3,0,1,none
terra,gpt-5.6-terra,medium,C1316,gr,30,30,0,0,30,0,3,1.0,3,0.0,30,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1387,gr,30,30,0,0,30,0,3,1.0,3,0.0,22,0,8,0,0,1,none
terra,gpt-5.6-terra,medium,C1423,gr,30,30,0,0,30,0,3,1.0,3,0.0,30,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1460,gr,30,30,0,0,30,0,3,1.0,3,0.0,18,0,12,0,0,1,none
terra,gpt-5.6-terra,medium,C1621,gr,30,30,0,0,30,0,3,1.0,3,0.0,5,0,25,0,0,3,none
terra,gpt-5.6-terra,medium,C0990,en,15,15,2,1,12,0,3,0.8,3,0.2,15,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1026,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1099,en,15,15,0,0,15,0,3,1.0,3,0.0,13,2,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1195,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1292,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1316,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1387,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1423,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1460,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
terra,gpt-5.6-terra,medium,C1621,en,15,15,0,0,15,0,3,1.0,3,0.0,7,0,8,0,0,3,none
terra-off,gpt-5.6-terra,none,C0990,gr,30,30,0,0,30,0,3,1.0,3,0.0,30,0,0,0,0,1,none
terra-off,gpt-5.6-terra,none,C1026,gr,30,30,0,0,30,0,3,1.0,3,0.0,28,0,2,0,0,1,none
terra-off,gpt-5.6-terra,none,C1099,gr,30,30,0,0,30,0,3,1.0,3,0.0,16,1,13,0,0,1,none
terra-off,gpt-5.6-terra,none,C1195,gr,30,30,0,0,30,0,3,1.0,3,0.0,25,0,5,0,0,1,none
terra-off,gpt-5.6-terra,none,C1292,gr,30,30,0,0,30,0,3,1.0,3,0.0,2,3,17,8,0,3,none
terra-off,gpt-5.6-terra,none,C1316,gr,30,30,0,0,30,0,3,1.0,3,0.0,30,0,0,0,0,1,none
terra-off,gpt-5.6-terra,none,C1387,gr,30,30,0,0,30,0,3,1.0,3,0.0,27,0,3,0,0,1,none
terra-off,gpt-5.6-terra,none,C1423,gr,30,30,0,0,30,0,3,1.0,3,0.0,28,0,2,0,0,1,none
terra-off,gpt-5.6-terra,none,C1460,gr,30,30,0,0,30,0,3,1.0,3,0.0,25,0,5,0,0,1,none
terra-off,gpt-5.6-terra,none,C1621,gr,30,30,0,0,30,0,3,1.0,3,0.0,4,0,26,0,0,3,none
terra-off,gpt-5.6-terra,none,C0990,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
terra-off,gpt-5.6-terra,none,C1026,en,15,15,0,0,15,0,3,1.0,3,0.0,13,0,2,0,0,1,none
terra-off,gpt-5.6-terra,none,C1099,en,15,15,0,0,15,0,3,1.0,3,0.0,6,9,0,0,0,2,none
terra-off,gpt-5.6-terra,none,C1195,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
terra-off,gpt-5.6-terra,none,C1292,en,15,15,0,0,15,0,3,1.0,3,0.0,3,10,0,2,0,2,none
terra-off,gpt-5.6-terra,none,C1316,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
terra-off,gpt-5.6-terra,none,C1387,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
terra-off,gpt-5.6-terra,none,C1423,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
terra-off,gpt-5.6-terra,none,C1460,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
terra-off,gpt-5.6-terra,none,C1621,en,15,15,0,0,15,0,3,1.0,3,0.0,15,0,0,0,0,1,none
sonnet,claude-sonnet-5,medium,C0990,gr,30,30,0,17,13,0,2,0.5666666667,2,0.5666666667,30,0,0,0,0,1,none
sonnet,claude-sonnet-5,medium,C1026,gr,30,30,0,3,27,0,3,0.9,3,0.1,30,0,0,0,0,1,none
sonnet,claude-sonnet-5,medium,C1099,gr,30,30,0,0,30,0,3,1.0,3,0.0,22,0,8,0,0,1,none
sonnet,claude-sonnet-5,medium,C1195,gr,30,30,0,13,17,0,3,0.5666666667,3,0.4333333333,28,0,2,0,0,1,none
sonnet,claude-sonnet-5,medium,C1292,gr,30,30,0,20,10,0,2,0.6666666667,2,0.6666666667,16,12,2,0,0,1,none
