config,model,reasoning,case,complete,valid gr,valid bt-en,valid bt-de,valid en,valid de-lit,valid de-eng,modal:F,modal:W_en,modal:L_EN,modal:W_de,modal:L_DE,modal:delta_EN,modal:delta_DE,modal:L_EN_minus_F,EN vs BT-en,DE-lit vs BT-de,DE-lit vs DE-eng,D,flip direction,modal gr,modal bt-en,modal bt-de,modal en,modal de-lit,modal de-eng,share gr,share bt-en,share bt-de,share en,share de-lit,share de-eng
terra,gpt-5.6-terra,medium,C0990,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0322580645,no flip,3,3,3,3,3,3,1.0,1.0,1.0,0.9677419355,1.0,1.0
terra,gpt-5.6-terra,medium,C1026,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
terra,gpt-5.6-terra,medium,C1099,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,0.935483871
terra,gpt-5.6-terra,medium,C1195,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,0.935483871,1.0,1.0,1.0,0.935483871
terra,gpt-5.6-terra,medium,C1292,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,0.9677419355,1.0,1.0,1.0,1.0
terra,gpt-5.6-terra,medium,C1316,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
terra,gpt-5.6-terra,medium,C1387,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
terra,gpt-5.6-terra,medium,C1423,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
terra,gpt-5.6-terra,medium,C1460,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,0.935483871,0.8387096774,1.0,0.9677419355,1.0
terra,gpt-5.6-terra,medium,C1621,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
terra-off,gpt-5.6-terra,none,C0990,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,0.9677419355,1.0
terra-off,gpt-5.6-terra,none,C1026,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
terra-off,gpt-5.6-terra,none,C1099,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
terra-off,gpt-5.6-terra,none,C1195,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,0.9677419355
terra-off,gpt-5.6-terra,none,C1292,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3709677419,no flip,3,3,3,3,3,3,0.6290322581,1.0,1.0,1.0,0.4838709677,0.935483871
terra-off,gpt-5.6-terra,none,C1316,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
terra-off,gpt-5.6-terra,none,C1387,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
terra-off,gpt-5.6-terra,none,C1423,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
terra-off,gpt-5.6-terra,none,C1460,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
terra-off,gpt-5.6-terra,none,C1621,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
sonnet,claude-sonnet-5,medium,C0990,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-0.2580645161,no flip,3,2,3,3,3,3,0.7096774194,0.5806451613,0.7419354839,0.9677419355,1.0,0.9677419355
sonnet,claude-sonnet-5,medium,C1026,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0161290323,no flip,3,3,3,3,3,3,0.9838709677,1.0,1.0,1.0,1.0,1.0
sonnet,claude-sonnet-5,medium,C1099,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
sonnet,claude-sonnet-5,medium,C1195,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0483870968,no flip,3,3,3,3,3,3,0.9193548387,0.9032258065,0.7419354839,0.9677419355,0.9677419355,0.9677419355
sonnet,claude-sonnet-5,medium,C1292,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0967741935,no flip,3,3,3,3,3,3,0.8709677419,0.935483871,0.9032258065,0.9677419355,0.8709677419,0.935483871
sonnet,claude-sonnet-5,medium,C1316,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0806451613,no flip,3,3,3,3,3,3,0.9193548387,0.8709677419,0.8709677419,1.0,1.0,1.0
sonnet,claude-sonnet-5,medium,C1387,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
sonnet,claude-sonnet-5,medium,C1423,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,1.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,1.0,0.0,-0.2580645161,no flip,3,2,2,3,3,3,0.6774193548,0.5483870968,0.5806451613,0.935483871,0.7419354839,0.7741935484
sonnet,claude-sonnet-5,medium,C1460,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2741935484,no flip,3,3,3,3,3,3,0.7258064516,0.8064516129,0.7741935484,1.0,0.9677419355,1.0
sonnet,claude-sonnet-5,medium,C1621,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
gemini,gemini-3.6-flash,medium,C0990,True,62/62,31/31,31/31,31/31,31/31,31/31,0.01,0.005,0.005,0.995,0.995,0.0,0.0,-0.005,0.0,0.0,1.0,-0.0967741935,no flip,1,1,3,1,3,1,0.6451612903,0.5161290323,0.5806451613,0.5483870968,0.7419354839,0.7096774194
gemini,gemini-3.6-flash,medium,C1026,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
gemini,gemini-3.6-flash,medium,C1099,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0483870968,no flip,3,3,3,3,3,3,0.9516129032,0.8387096774,1.0,1.0,0.9677419355,1.0
gemini,gemini-3.6-flash,medium,C1195,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.064516129,no flip,3,3,3,3,3,3,1.0,1.0,1.0,0.935483871,1.0,1.0
gemini,gemini-3.6-flash,medium,C1292,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
gemini,gemini-3.6-flash,medium,C1316,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
gemini,gemini-3.6-flash,medium,C1387,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
gemini,gemini-3.6-flash,medium,C1423,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,0.9677419355,0.9677419355
gemini,gemini-3.6-flash,medium,C1460,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,0.7419354839,1.0,1.0,0.9677419355
gemini,gemini-3.6-flash,medium,C1621,True,62/62,31/31,31/31,31/31,31/31,31/31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no flip,3,3,3,3,3,3,1.0,1.0,1.0,1.0,1.0,1.0
