model,arm,valid draws,granted in full,granted in part,dismissed,conditional order,share full,share part,share dismissed,share conditional,share granting relief
GPT-5.6 Terra,Greek,620,0,0,620,0,0.000,0.000,1.000,0.000,0.000
GPT-5.6 Terra,BT via English,310,2,3,305,0,0.006,0.010,0.984,0.000,0.016
GPT-5.6 Terra,English,310,1,0,309,0,0.003,0.000,0.997,0.000,0.003
GPT-5.6 Terra,BT via German,310,0,5,305,0,0.000,0.016,0.984,0.000,0.016
GPT-5.6 Terra,German (plain terms),310,0,1,309,0,0.000,0.003,0.997,0.000,0.003
GPT-5.6 Terra,German (English terms),310,2,2,306,0,0.006,0.006,0.987,0.000,0.013
"GPT-5.6 Terra, reasoning off",Greek,620,15,8,597,0,0.024,0.013,0.963,0.000,0.037
"GPT-5.6 Terra, reasoning off",BT via English,310,0,0,310,0,0.000,0.000,1.000,0.000,0.000
"GPT-5.6 Terra, reasoning off",English,310,0,0,310,0,0.000,0.000,1.000,0.000,0.000
"GPT-5.6 Terra, reasoning off",BT via German,310,0,0,310,0,0.000,0.000,1.000,0.000,0.000
"GPT-5.6 Terra, reasoning off",German (plain terms),310,11,6,293,0,0.035,0.019,0.945,0.000,0.055
"GPT-5.6 Terra, reasoning off",German (English terms),310,1,2,307,0,0.003,0.006,0.990,0.000,0.010
Claude Sonnet 5,Greek,620,0,74,546,0,0.000,0.119,0.881,0.000,0.119
Claude Sonnet 5,BT via English,310,0,50,260,0,0.000,0.161,0.839,0.000,0.161
Claude Sonnet 5,English,310,0,5,305,0,0.000,0.016,0.984,0.000,0.016
Claude Sonnet 5,BT via German,310,0,48,262,0,0.000,0.155,0.845,0.000,0.155
Claude Sonnet 5,German (plain terms),310,0,14,296,0,0.000,0.045,0.955,0.000,0.045
Claude Sonnet 5,German (English terms),310,0,9,299,2,0.000,0.029,0.965,0.006,0.029
Gemini 3.6 Flash,Greek,620,43,0,577,0,0.069,0.000,0.931,0.000,0.069
Gemini 3.6 Flash,BT via English,310,21,0,289,0,0.068,0.000,0.932,0.000,0.068
Gemini 3.6 Flash,English,310,17,2,291,0,0.055,0.006,0.939,0.000,0.061
Gemini 3.6 Flash,BT via German,310,21,0,289,0,0.068,0.000,0.932,0.000,0.068
Gemini 3.6 Flash,German (plain terms),310,9,1,300,0,0.029,0.003,0.968,0.000,0.032
Gemini 3.6 Flash,German (English terms),310,23,1,286,0,0.074,0.003,0.923,0.000,0.077
