model,arm,valid draws,ground 1: real prospect of success,ground 2: point of law or construction of a document,ground 3: other compelling reason for a trial,ground 4: procedural point,ground 5: another ground,share ground 1,share ground 2,share ground 3,share ground 4,share ground 5
GPT-5.6 Terra,Greek,620,540,2,77,1,0,0.871,0.003,0.124,0.002,0.000
GPT-5.6 Terra,BT via English,310,253,1,56,0,0,0.816,0.003,0.181,0.000,0.000
GPT-5.6 Terra,English,310,281,5,23,1,0,0.906,0.016,0.074,0.003,0.000
GPT-5.6 Terra,BT via German,310,248,0,61,1,0,0.800,0.000,0.197,0.003,0.000
GPT-5.6 Terra,German (plain terms),310,246,0,59,5,0,0.794,0.000,0.190,0.016,0.000
GPT-5.6 Terra,German (English terms),310,274,3,33,0,0,0.884,0.010,0.106,0.000,0.000
"GPT-5.6 Terra, reasoning off",Greek,620,457,3,140,20,0,0.737,0.005,0.226,0.032,0.000
"GPT-5.6 Terra, reasoning off",BT via English,310,225,1,60,24,0,0.726,0.003,0.194,0.077,0.000
"GPT-5.6 Terra, reasoning off",English,310,261,12,32,5,0,0.842,0.039,0.103,0.016,0.000
"GPT-5.6 Terra, reasoning off",BT via German,310,247,3,43,17,0,0.797,0.010,0.139,0.055,0.000
"GPT-5.6 Terra, reasoning off",German (plain terms),310,239,5,65,1,0,0.771,0.016,0.210,0.003,0.000
"GPT-5.6 Terra, reasoning off",German (English terms),310,264,28,9,9,0,0.852,0.090,0.029,0.029,0.000
Claude Sonnet 5,Greek,620,384,26,208,2,0,0.619,0.042,0.335,0.003,0.000
Claude Sonnet 5,BT via English,310,213,7,90,0,0,0.687,0.023,0.290,0.000,0.000
Claude Sonnet 5,English,310,267,5,36,2,0,0.861,0.016,0.116,0.006,0.000
Claude Sonnet 5,BT via German,310,222,13,75,0,0,0.716,0.042,0.242,0.000,0.000
Claude Sonnet 5,German (plain terms),310,215,9,86,0,0,0.694,0.029,0.277,0.000,0.000
Claude Sonnet 5,German (English terms),310,280,10,20,0,0,0.903,0.032,0.065,0.000,0.000
Gemini 3.6 Flash,Greek,620,619,0,1,0,0,0.998,0.000,0.002,0.000,0.000
Gemini 3.6 Flash,BT via English,310,307,3,0,0,0,0.990,0.010,0.000,0.000,0.000
Gemini 3.6 Flash,English,310,310,0,0,0,0,1.000,0.000,0.000,0.000,0.000
Gemini 3.6 Flash,BT via German,310,310,0,0,0,0,1.000,0.000,0.000,0.000,0.000
Gemini 3.6 Flash,German (plain terms),310,310,0,0,0,0,1.000,0.000,0.000,0.000,0.000
Gemini 3.6 Flash,German (English terms),310,310,0,0,0,0,1.000,0.000,0.000,0.000,0.000
