arm,model A,model B,cases where modal outcomes agree,cases,share
Greek,GPT-5.6 Terra,"GPT-5.6 Terra, reasoning off",10,10,1.00
Greek,GPT-5.6 Terra,Claude Sonnet 5,7,10,0.70
Greek,GPT-5.6 Terra,Gemini 3.6 Flash,9,10,0.90
Greek,"GPT-5.6 Terra, reasoning off",Claude Sonnet 5,7,10,0.70
Greek,"GPT-5.6 Terra, reasoning off",Gemini 3.6 Flash,9,10,0.90
Greek,Claude Sonnet 5,Gemini 3.6 Flash,7,10,0.70
English,GPT-5.6 Terra,"GPT-5.6 Terra, reasoning off",10,10,1.00
English,GPT-5.6 Terra,Claude Sonnet 5,10,10,1.00
English,GPT-5.6 Terra,Gemini 3.6 Flash,9,10,0.90
English,"GPT-5.6 Terra, reasoning off",Claude Sonnet 5,10,10,1.00
English,"GPT-5.6 Terra, reasoning off",Gemini 3.6 Flash,9,10,0.90
English,Claude Sonnet 5,Gemini 3.6 Flash,9,10,0.90
