case,court granted,GPT-5.6 Terra | Greek,GPT-5.6 Terra | English,"GPT-5.6 Terra, reasoning off | Greek","GPT-5.6 Terra, reasoning off | English",Claude Sonnet 5 | Greek,Claude Sonnet 5 | English,Gemini 3.6 Flash | Greek,Gemini 3.6 Flash | English
C0990,yes,0.0,0.2,0.0,0.0,0.5666666667,0.0,0.6333333333,0.6
C1026,no,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
C1099,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
C1195,yes,0.0,0.0,0.0,0.0,0.4333333333,0.0,0.0333333333,0.1333333333
C1292,yes,0.0,0.0,0.0,0.0,0.6666666667,0.0,0.0,0.0
C1316,no,0.0,0.0,0.0,0.0,0.2666666667,0.0,0.0,0.0
C1387,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1423,yes,0.0,0.0,0.0,0.0,0.9666666667,0.2666666667,0.0,0.0
C1460,no,0.0,0.0,0.0,0.0,0.4666666667,0.1333333333,0.0,0.0
C1621,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
