case,court granted,GPT-5.6 Terra | Greek,GPT-5.6 Terra | BT via English,GPT-5.6 Terra | English,GPT-5.6 Terra | BT via German,GPT-5.6 Terra | German (plain terms),GPT-5.6 Terra | German (English terms),"GPT-5.6 Terra, reasoning off | Greek","GPT-5.6 Terra, reasoning off | BT via English","GPT-5.6 Terra, reasoning off | English","GPT-5.6 Terra, reasoning off | BT via German","GPT-5.6 Terra, reasoning off | German (plain terms)","GPT-5.6 Terra, reasoning off | German (English terms)",Claude Sonnet 5 | Greek,Claude Sonnet 5 | BT via English,Claude Sonnet 5 | English,Claude Sonnet 5 | BT via German,Claude Sonnet 5 | German (plain terms),Claude Sonnet 5 | German (English terms),Gemini 3.6 Flash | Greek,Gemini 3.6 Flash | BT via English,Gemini 3.6 Flash | English,Gemini 3.6 Flash | BT via German,Gemini 3.6 Flash | German (plain terms),Gemini 3.6 Flash | German (English terms)
C0990,yes,0.0,0.0,0.0322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0322580645,0.0,0.2903225806,0.5806451613,0.0322580645,0.2580645161,0.0,0.0322580645,0.6451612903,0.5161290323,0.5483870968,0.4193548387,0.2580645161,0.7096774194
C1026,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0161290323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1099,yes,0.0,0.0,0.0,0.0,0.0,0.064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0483870968,0.1612903226,0.0,0.0,0.0322580645,0.0
C1195,yes,0.0,0.064516129,0.0,0.0,0.0,0.064516129,0.0,0.0,0.0,0.0,0.0,0.0322580645,0.0806451613,0.0967741935,0.0322580645,0.2580645161,0.0322580645,0.0322580645,0.0,0.0,0.064516129,0.0,0.0,0.0
C1292,yes,0.0,0.0322580645,0.0,0.0,0.0,0.0,0.3709677419,0.0,0.0,0.0,0.5161290323,0.064516129,0.1290322581,0.064516129,0.0322580645,0.0967741935,0.1290322581,0.064516129,0.0,0.0,0.0,0.0,0.0,0.0
C1316,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0806451613,0.1290322581,0.0,0.1290322581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1387,no,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1423,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3225806452,0.5483870968,0.064516129,0.5806451613,0.2580645161,0.1612903226,0.0,0.0,0.0,0.0,0.0322580645,0.0322580645
C1460,no,0.0,0.064516129,0.0,0.1612903226,0.0322580645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2741935484,0.1935483871,0.0,0.2258064516,0.0322580645,0.0,0.0,0.0,0.0,0.2580645161,0.0,0.0322580645
C1621,yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
