kind,greek,en,de_lit,de_eng,note
placeholder,[τοποθεσία],[location],[Ort],[Ort],27 occurrences
placeholder,[όνομα προηγούμενης ιδιοκτήτριας εταιρείας],[name of previous owner company],[Name der früheren Eigentümergesellschaft],[Name der früheren Eigentümergesellschaft],13
placeholder,[αριθμός προηγούμενης αγωγής],[number of previous action],[Nummer der früheren Klage],[Nummer der früheren Klage],10
placeholder,[όνομα ενάγοντα],[name of claimant],[Name des Klägers],[Name des Klägers],9
placeholder,[όνομα διευθυντή αιτήτριας],[name of applicant's director],[Name des Geschäftsführers der Antragstellerin],[Name des Geschäftsführers der Antragstellerin],9
placeholder,[όνομα εταιρείας],[name of company],[Name der Gesellschaft],[Name der Gesellschaft],8
placeholder,[όνομα προηγούμενης εκμισθώτριας εταιρείας],[name of previous landlord company],[Name der früheren Vermietergesellschaft],[Name der früheren Vermietergesellschaft],6
placeholder,[όνομα Δήμου],[name of municipality],[Name der Gemeinde],[Name der Gemeinde],6
placeholder,[όνομα διευθυντή καθ'ης η αίτηση],[name of respondent's director],[Name des Geschäftsführers der Antragsgegnerin],[Name des Geschäftsführers der Antragsgegnerin],4
placeholder,[όνομα τράπεζας],[name of bank],[Name der Bank],[Name der Bank],3
placeholder,[όνομα μητρικής εταιρείας],[name of parent company],[Name der Muttergesellschaft],[Name der Muttergesellschaft],2
placeholder,[όνομα εναγόμενης εταιρείας],[name of defendant company],[Name der beklagten Gesellschaft],[Name der beklagten Gesellschaft],2
placeholder,[όνομα διευθυντή καθ' ων η αίτηση],[name of respondents' director],[Name des Geschäftsführers der Antragsgegner],[Name des Geschäftsführers der Antragsgegner],2
placeholder,[αριθμός εκκρεμούσας παράλληλης αγωγής],[number of pending parallel action],[Nummer der anhängigen Parallelklage],[Nummer der anhängigen Parallelklage],2
placeholder,[όνομα ομνύοντος],[name of deponent],[Name des Erklärenden],[Name des Erklärenden],1
placeholder,[όνομα εταιρείας εκτιμητών],[name of valuers' firm],[Name des Sachverständigenbüros],[Name des Sachverständigenbüros],1
placeholder,[όνομα εκτιμητή],[name of valuer],[Name des Sachverständigen],[Name des Sachverständigen],1
placeholder,[όνομα αιτήτριας εταιρείας],[name of applicant company],[Name der antragstellenden Gesellschaft],[Name der antragstellenden Gesellschaft],1
