model,arm,calls,mean input tokens,mean cached share,mean output tokens,mean reasoning tokens (Sonnet: not separated),mean seconds,cost (USD)
GPT-5.6 Terra,Greek,620,7482,0.98,359,91,8.1,3.737
GPT-5.6 Terra,BT via English,310,7577,0.97,389,126,8.7,2.054
GPT-5.6 Terra,English,310,4246,0.97,254,119,4.5,1.288
GPT-5.6 Terra,BT via German,310,7565,0.97,394,127,8.8,2.072
GPT-5.6 Terra,German (plain terms),310,5466,0.97,268,102,5.3,1.437
GPT-5.6 Terra,German (English terms),310,5402,0.97,255,84,5.3,1.383
"GPT-5.6 Terra, reasoning off",Greek,620,7482,0.98,280,0,7.2,3.17
"GPT-5.6 Terra, reasoning off",BT via English,310,7577,0.97,273,0,7.1,1.623
"GPT-5.6 Terra, reasoning off",English,310,4246,0.96,145,0,3.1,0.885
"GPT-5.6 Terra, reasoning off",BT via German,310,7565,0.97,280,0,7.1,1.648
"GPT-5.6 Terra, reasoning off",German (plain terms),310,5466,0.97,174,0,3.8,1.086
"GPT-5.6 Terra, reasoning off",German (English terms),310,5402,0.97,174,0,3.8,1.08
Claude Sonnet 5,Greek,620,13311,0.98,605,n/a,13.7,5.708
Claude Sonnet 5,BT via English,310,13532,0.97,635,n/a,14.2,3.121
Claude Sonnet 5,English,310,6328,0.97,359,n/a,5.0,1.651
Claude Sonnet 5,BT via German,310,13383,0.97,679,n/a,14.7,3.243
Claude Sonnet 5,German (plain terms),310,10844,0.97,503,n/a,6.5,2.481
Claude Sonnet 5,German (English terms),310,10753,0.97,526,n/a,6.8,2.547
Gemini 3.6 Flash,Greek,620,7845,0.13,1578,1302,9.1,6.642
Gemini 3.6 Flash,BT via English,310,7938,0.13,1542,1270,9.3,3.305
Gemini 3.6 Flash,English,310,4400,0.00,1080,933,6.9,2.278
Gemini 3.6 Flash,BT via German,310,7925,0.13,1636,1359,9.4,3.419
Gemini 3.6 Flash,German (plain terms),310,5822,0.00,1492,1304,9.1,3.088
Gemini 3.6 Flash,German (English terms),310,5741,0.00,1530,1343,9.5,3.11
